Region,State,Substation,Type,Voltage Level,Start Date,Actual Date of Completion,latitude,longitude,geocode_status
Southern Region,Andhra Pradesh,Chandanada,AIS,220kV,,,17.3696095,82.7008523,success
Southern Region,Telangana,Chandanvally,AIS,220kV,JUN-24,,17.2329844,78.1720041,success
Eastern Region - 1,Bihar,Chandauti,AIS,400kV,,,24.7501319,84.9839828,success
Northern Region II,Chandigarh,Chandigarh,GIS,220kV,,,30.7334421,76.7797143,success
Northern Region III,Uttar Pradesh,Chandpur (Bijnor),AIS,220kV,01-Nov-19,,29.14257,78.2901819,success
Western Region,Gujarat,Chandrapura,AIS,220kV,,,22.3850051,71.745261,state_center
Eastern Region - 1,Jharkhand,CHANDWA,GIS,400kV,,,23.6589217,84.7859732,success
Western Region - II,Madhya Pradesh,CHAPDA,AIS,220kV,,,23.8143419,77.5340719,state_center
Western Region,Gujarat,Charadava,AIS,220kV,,,22.3850051,71.745261,state_center
Western Region,Gujarat,Charadva,AIS,220kV,,,22.3850051,71.745261,state_center
Western Region,Gujarat,Charanka,AIS,400kV,,,23.8812456,71.1809174,success
Western Region,Gujarat,Charkha,AIS,220kV,,,21.8795371,71.2454507,success
Northern Region,Himachal Pradesh,Charor,AIS,220kV,,,31.9292352,77.1828462,state_center
Western Region - II,Madhya Pradesh,CHHANERA,AIS,220kV,,,21.9636413,76.7072779,success
Western Region,Gujarat,Chhara S/S,AIS,400kV,MAR-21,,23.0707163,72.6407615,success_v2_medium
Western Region,Gujarat,Chharodi,AIS,400kV,,,23.1002552,72.4807497,success
Western Region - II,Madhya Pradesh,CHHATARPUR,AIS,220kV,,,24.7606089,79.6781776,success
Western Region,Gujarat,Chhatral,AIS,220kV,,,23.2779379,72.4450501,success
Western Region - II,Madhya Pradesh,CHHEGAON MAKHAN,AIS,400kV,,,21.8366096,76.2168252,success
Western Region - II,Madhya Pradesh,CHHINDWARA,AIS,220kV,,,22.2071897,78.798833,success
Western Region - II,Madhya Pradesh,CHICHLI,AIS,220kV,,,23.1635303,77.3919089,success
Western Region,Gujarat,Chikhli,AIS,220kV,,,20.7581399,73.0598983,success
Southern Region,Andhra Pradesh,Chilakaluripeta S/s,AIS,400kV,,,16.0933343,80.1555568,success_v2_medium
Southern Region - I,Andhra Pradesh,Chilkaluripeta,AIS,400kV,,,15.9240905,80.1863809,state_center
Western Region,Maharashtra,Chimur T/F,AIS,220kV,MAR-21,,20.4942258,79.373825,success_v2_medium
Western Region,Maharashtra,CHINCHWAD,AIS,220kV,,,18.6403548,73.7917128,success
Western Region,Maharashtra,CHITEGAON,AIS,220kV,,,20.4041077,74.9583864,success
Southern Region,Andhra Pradesh,Chittoor Dist.,AIS,220kV,MAY-24,04/24,15.9240905,80.1863809,state_center
Northern Region 1,Rajasthan,CHITTORGARH,AIS,765kV,,,24.7171578,74.4718129,success
Northern Region,Jammu & Kashmir,Chowadhi S/S,AIS,220kV,SEP-19,,33.6649297,75.1629584,state_center
Southern Region - II,Karnataka,CN'Halli,AIS,765kV,,,17.8401056,76.8684901,success
Southern Region,Tamil Nadu,Coimbatore,AIS,765kV,MAR-25,,11.0018115,76.9628425,success
Western Region - I,Maharastra,Colourchem,AIS,220kV,,,18.9068356,75.6741579,state_center
Southern Region - I,Andhra Pradesh,C'Peta (Cuddapah),AIS,765kV,,,15.8340195,78.0411462,success_v2_medium
Southern Region - I,Andhra Pradesh,Cuddapah,AIS,765kV,,,14.4956602,78.8349278,success
Western Region,Goa,CUNCOLIM,AIS,220kV,,,15.1801323,73.9978596,success
ODISHA,Odisha,Cuttack,AIS,220kV,,,20.4686,85.8792,success
Northern Region,Haryana,Dadri,AIS,220kV,,,28.6020969,76.1909292,success
Western Region,Gujarat,Dahej,AIS,220kV,,,21.709301,72.5893963,success
Northern Region,Uttar Pradesh,Dahi Chaoki,AIS,400kV,,,27.1303344,80.859666,state_center
Eastern Region - 2,West Bengal,DALKHOLA,AIS,220kV,,,25.8739615,87.8391252,success
Western Region - II,Madhya Pradesh,DALODA,AIS,220kV,,,23.9559753,75.1041283,success
Eastern Region - 1,Jharkhand,DALTONGANJ,AIS,400kV,,,24.0397192,84.0658109,success
Western Region - II,Madhya Pradesh,DAMOH,AIS,220kV,,,23.7981005,79.5419356,success
Western Region - II,Madhya Pradesh,DAMOH,AIS,400kV,,,23.7981005,79.5419356,success
Eastern Region,Odisha,Daspalla S/S,AIS,220kV,JUN-25,,20.5431241,84.6897321,state_center
Western Region - II,Madhya Pradesh,DATIA,AIS,220kV,,,25.9182946,78.6644962,success
Northern Region,Haryana,Daukhera PS,AIS,220kV,,,29.0,76.0,state_center
Northern Region,Haryana,Daultabad,AIS,220kV,,,28.4822734,76.9925651,success
Southern Region - II,Karnataka,Davangere,AIS,765kV,,,14.4661266,75.9206361,success
Northern Region,Haryana,Deepalpur,AIS,400kV,,,29.0,76.0,state_center
Northern Region,Himachal Pradesh,Dehan,AIS,220kV,,,32.067356,76.5168142,success
Western Region - II,Gujarat,DEHGAM,AIS,400kV,,,23.1640326,72.8818319,success
Northern Region 1,Uttarakhand,DEHRADUN,AIS,400kV,,,30.3255646,78.0436813,success
Eastern Region,Bihar,Dehri S/S,AIS,220kV,DEC-16,,24.9258862,84.1728723,success_v2_medium
Western Region - II,Gujarat,Deodar,AIS,220kV,,,24.1920148,71.7893701,success
Western Region - II,Madhya Pradesh,DEPALPUR,AIS,220kV,,,22.8494212,75.5437738,success
Southern Region - II,Karnataka,Devanahalli,AIS,400kV,,,13.2483502,77.7134377,success
Western Region - II,Madhya Pradesh,DEWAS,AIS,220kV,,,22.8057498,76.2940408,success
Eastern Region,Odisha,Dhamara S/S,AIS,220kV,,,20.7964003,86.8994884,success
Eastern Region,Odisha,Dhamra S/S,AIS,220kV,APR-23,,20.7955666,86.9010186,success_v2_medium
Northern Region,Haryana,Dhanaunda,AIS,400kV,,,28.350748,76.253807,success
Western Region,Gujarat,Dhansura,AIS,220kV,,,23.3467,73.2054,success
Western Region - II,Madhya Pradesh,DHAR,AIS,220kV,,,22.5786572,75.2258637,success
Western Region - I,Chattishgarh,DHARAMJAYGARH,AIS,765kV,,,21.2555727,81.6923437,state_center
Eastern Region,West Bengal,Dharampur,AIS,220kV,MAR-18,,25.2751246,88.1258009,success
Southern Region - II,Tamil Nadu,DHARMAPURI (SALEM PS),AIS,400kV,,,11.6739064,78.1521557,success_v2_medium
Southern Region,Andhra Pradesh,Dharmavaram,AIS,220kV,JUL-24,,14.4138405,77.7208432,success
Northern Region,Haryana,Dharuhera,AIS,220kV,,,28.2055216,76.7953099,success
Western Region,Gujarat,Dhokadava,AIS,220kV,,,22.3850051,71.745261,state_center
Southern Region,Karnataka,Dhoni,AIS,400kV,OCT-18,,14.5203896,75.7223521,state_center
Western Region,Gujarat,Dhrangadhra,AIS,220kV,,,22.9914292,71.4663753,success
Western Region,Maharashtra,DHULE,AIS,220kV,,,21.1305215,74.4900614,success
North Eastern Region,Nagaland,DIMAPUR,GIS,400kV,,,25.9041378,93.7177609,success
Northern Region,Ladakh,Diskit,AIS,220kV,,,34.5512277,77.5506547,success
Western Region,Chhattisgarh,DOMA,AIS,220kV,,,21.7738634,82.9918746,success
Northern Region II,UT-Ladakh,DRASS GIS,GIS,220kV,,,33.5232404,77.7179641,state_center
ODISHA,Odisha,Duburi,AIS,220kV,,,20.9885855,85.9889574,success
Eastern Region,Odisha,Duburi,AIS,400kV,JUN-25,,20.9885855,85.9889574,success
Northern Region III,Uttar Pradesh,Dulhipar (Sant Kabir,AIS,220kV,,,27.1303344,80.859666,state_center
Eastern Region,Bihar,Dumraon s/s,AIS,220kV,JAN-23,,25.5238346,84.1599531,success_v2_medium
Eastern Region - 2,West Bengal,DURGAPUR,AIS,400kV,,,23.5350475,87.3380425,success
Northern Region 1,Delhi,Dwarka,GIS,400kV,,,28.6158874,77.0224342,success
Eastern Region,West Bengal,East Mednipur PS,AIS,220kV,,,22.9964948,87.6855882,state_center
Southern Region - II,Kerala,Edamon,AIS,220kV,,,9.0030806,76.9825555,success
Southern Region - II,Kerala,Edappon,AIS,220kV,,,9.2288737,76.6270488,success
Southern Region,Karnataka,Electronic city S/S,AIS,400kV,DEC-20,,12.8436448,77.6686835,success
Southern Region,Andhra Pradesh,Eluru S/s,AIS,400kV,AUG-18,,16.7104257,81.1153816,success_v2_medium
Eastern Region,West Bengal,Falakata 220 KV GIS,AIS,220kV,,,22.9964948,87.6855882,state_center
Northern Region,Haryana,Farakhnagar S/s,AIS,400kV,,,29.0,76.0,state_center
Northern Region,Haryana,Farakhnagar,AIS,400kV,,,29.0,76.0,state_center
Eastern Region,West Bengal,Farakka,AIS,400kV,APR-22,,24.7658067,87.9126789,success
Western Region,Gujarat,Faredi,AIS,220kV,,,22.3850051,71.745261,state_center
