Region,State,Substation,Type,Voltage Level,Start Date,Actual Date of Completion,latitude,longitude,geocode_status
Northern Region,Jammu &amp; Kashmir,Lassipora,AIS,220kV,MAR-19,,,,error
Eastern Region,Jharkhand,Latehar SS,AIS,400kV,JAN-25,12/24,,,error
Eastern Region,Jharkhand,Latehar,AIS,400kV,,,,,error
Eastern Region,Odisha,Laxmipur S/S,AIS,220kV,JUL-20,,,,error
ODISHA,Odisha,Laxmipur,AIS,220kV,,,,,error
Eastern Region,Sikkim,Legship Pool S/S,AIS,220kV,MAY-19,,,,error
Eastern Region,Sikkim,Legship S/S,AIS,220kV,,,,,error
Northern Region II,Laddakh,LEH,GIS,220kV,,,,,error
Eastern Region,Jharkhand,Lohardaga GSS,AIS,220kV,JAN-25,12/24,,,error
Eastern Region,Jharkhand,Lohardagga,AIS,220kV,,,,,error
Northern Region,Haryana,Lohari/Jattal S/s,AIS,220kV,,,,,error
Western Region,Maharashtra,Loinikand-II S/S,AIS,220kV,,,,,error
Western Region - I,Maharastra,Lonikand-I,AIS,220kV,,,,,error
Northern Region III,Uttar Pradesh,LUCKNOW New,AIS,765kV,,,,,error
Northern Region III,Uttar Pradesh,LUCKNOW,AIS,400kV,,,,,error
Northern Region II,Punjab,LUDHIANA,AIS,400kV,,,,,error
Northern Region,Haryana,Lula Ahir,AIS,220kV,,,,,error
Southern Region - II,Kerala,Madakkathara,AIS,400kV,,,,,error
Northern Region III,Uttar Pradesh,Madhuban Bapudham,AIS,220kV,,,,,error
Southern Region - II,Karnataka,MADHUGIRI (TUMKUR),AIS,400kV,,,,,error
Southern Region - II,Tamil Nadu,MADRAS (Sriperumabdur),AIS,400kV,,,,,error
Southern Region - II,Tamil Nadu,MADURAI,AIS,400kV,,,,,error
Western Region - II,UT of Daman & Diu,MAGARWADA,GIS,400kV,,,,,error
Southern Region - I,Telangana,Mahabubabad,AIS,220kV,,,,,error
Eastern Region,West Bengal,Mahachanda GIS,AIS,220kV,MAR-20,,,,error
Northern Region III,Uttar Pradesh,Maharajganj,AIS,220kV,22-Feb-19,,,,error
Northern Region,Delhi,Maharanibagh GIS,AIS,220kV,MAR-19,,,,error
Northern Region 1,Delhi,MAHARANIBAGH,GIS,400kV,,,,,error
Western Region,Chhattisgarh,MAHASAMUND (PARASWANI),AIS,220kV,,,,,error
Southern Region - I,Andhra Pradesh,Maheshwaram (PG),AIS,400kV,,,,,error
Southern Region - I,Telangana,MAHESHWARAM,GIS,765kV,,,,,error
Western Region - II,Madhya Pradesh,MAIHAR,AIS,220kV,,,,,error
Northern Region,Uttar Pradesh,Mainpuri s/s,AIS,765kV,,,,,error
Northern Region III,Uttar Pradesh,MAINPURI,AIS,400kV,,,,,error
Eastern Region - 2,West Bengal,MAITHON,AIS,400kV,,,,,error
Northern Region,Himachal Pradesh,Majra,AIS,220kV,,,,,error
Western Region - II,Madhya Pradesh,Malanpur,AIS,220kV,,,,,error
Southern Region - II,Kerala,Malaparamba,AIS,220kV,,,,,error
Eastern Region - 2,West Bengal,MALDA,AIS,400kV,,,,,error
Northern Region II,Punjab,MALERKOTLA,AIS,400kV,,,,,error
ODISHA,Odisha,Malkangiri,AIS,220kV,,,,,error
Northern Region III,Uttar Pradesh,Mallawan (Fatehpur),AIS,220kV,,,,,error
Northern Region III,Uttar Pradesh,Mallawan,AIS,220kV,03-Dec-19,,,,error
Northern Region,Haryana,Malsari Khera S/s,AIS,220kV,,,,,error
Southern Region,Telangana,Manchippa LIS S/S,AIS,220kV,MAR-24,,,,error
Northern Region,Himachal Pradesh,Mandhala,AIS,220kV,,,,,error
Northern Region,Himachal Pradesh,MANDHALA,AIS,400kV,,,,,error
Western Region - II,Madhya Pradesh,MANDIDEEP,AIS,220kV,,,,,error
Northern Region 1,Uttar Pradesh,MANDOLA,AIS,400kV,,,,,error
Western Region - II,Madhya Pradesh,MANDSAUR,AIS,400kV,,,,,error
Northern Region,Haryana,Manesar,AIS,220kV,,,,,error
Northern Region 1,Haryana,MANESAR,GIS,400kV,,,,,error
Western Region - II,Madhya Pradesh,MANGALIYA,AIS,220kV,,,,,error
Southern Region,Telangana,Manikonda S/S,AIS,220kV,DEC-18,,,,error
Western Region,Maharashtra,Manjarsumba,AIS,220kV,MAR-18,,,,error
Western Region,Maharashtra,Mankapur S/S,AIS,220kV,,,,,error
Western Region,Gujarat,Mansar,AIS,400kV,,,,,error
Western Region,Goa,Mapusa S/S,AIS,400kV,JUL-21,,,,error
Western Region - I,Goa,MAPUSA,AIS,400kV,,,,,error
Southern Region - I,Andhra Pradesh,Maradam,AIS,400kV,,,,,error
North Eastern Region,Assam,MARIANI,AIS,220kV,,,,,error
Northern Region,Haryana,Mau,AIS,220kV,,,,,error
North Eastern Region,Meghalaya,MAWNGAP,AIS,220kV,,,,,error
Eastern Region,West Bengal,Mayapur GIS,AIS,220kV,MAR-21,,,,error
Eastern Region - 2,West Bengal,Medinipur,AIS,765kV,,,,,error
Northern Region 1,Uttar Pradesh,MEERUT TBCB,AIS,400kV,,,,,error
Northern Region 1,Uttar Pradesh,MEERUT(765 kV),AIS,765kV,,,,,error
Western Region - II,Madhya Pradesh,MEHGAON,AIS,220kV,,,,,error
Northern Region,Delhi,Mehrauli,AIS,220kV,MAR-19,,,,error
Western Region,Gujarat,Mehsana,AIS,220kV,,,,,error
ODISHA,Odisha,Meramundali,AIS,220kV,,,,,error
ODISHA,Odisha,Meramundali,AIS,400kV,,,,,error
Northern Region,Jammu & Kashmir,Mirbazar,AIS,220kV,,,,,error
North Eastern Region,Assam,MISA,AIS,400kV,,,,,error
Western Region,Gujarat,Mitha,AIS,220kV,,,,,error
Northern Region II,Punjab,MOGA,AIS,765kV,,,,,error
Western Region,Gujarat,Mogar,AIS,220kV,,,,,error
Northern Region,Haryana,Moh ana,AIS,220kV,,,,,error
North Eastern Region,Nagaland,MOKOKCHUNG,GIS,220kV,,,,,error
Western Region,Chhattisgarh,MOPKA,AIS,220kV,,,,,error
Northern Region,Uttar Pradesh,Moradabad,AIS,400kV,APR-25,,,,error
Western Region,Gujarat,Morbi,AIS,220kV,,,,,error
Western Region - II,Madhya Pradesh,MORENA,AIS,220kV,,,,,error
Northern Region,Uttarakhand,Mori,AIS,220kV,,,,,error
Western Region,Gujarat,Mota,AIS,220kV,,,21.1727852,73.0682073,success
Western Region - II,Madhya Pradesh,MUGALIYACHAAP,AIS,220kV,,,23.8143419,77.5340719,state_center
Southern Region,Telangana,Mughalkod,AIS,400kV,,,17.8495919,79.1151663,state_center
Northern Region,Delhi,Mundka Bays,AIS,400kV,DEC-18,,28.6328027,77.2197713,state_center
Southern Region,Karnataka,Munirabad at,AIS,400kV,,,15.2785018,76.3274884,success
Southern Region - I,Karnataka,MUNIRABAD,AIS,400kV,,,15.2785018,76.3274884,success
Southern Region,Tamil Nadu,Muppandal,AIS,220kV,MAR-25,,8.7086091,77.7423824,success
Eastern Region - 1,Bihar,MUZAFFARPUR,AIS,400kV,,,26.1482548,85.3316097,success
Southern Region - II,Kerala,Mylatty,AIS,220kV,,,10.3528744,76.5120396,state_center
Southern Region,Andhra Pradesh,Mylavaram,AIS,400kV,JUL-20,,16.7612039,80.6418168,success
Southern Region,Andhra Pradesh,Mylavarm S/s,AIS,400kV,AUG-18,,15.9240905,80.1863809,state_center
Southern Region - II,Karnataka,MYSORE,AIS,400kV,,,12.3051828,76.6553609,success
North Eastern Region,Sikkim,Nagaland) Kohima,AIS,220kV,,,27.6021259,88.4561608,state_center
Southern Region - II,Tamil Nadu,NAGAPATTINAM,GIS,400kV,,,10.6026202,79.7619348,success
Northern Region,Uttar Pradesh,Nagar,AIS,400kV,FEB-25,01/25,26.8731147,80.9100077,success
Southern Region - I,Andhra Pradesh,NAGARJUNSAGAR,AIS,400kV,,,15.9240905,80.1863809,state_center
Western Region - II,Madhya Pradesh,NAGDA,AIS,220kV,,,23.4578957,75.4191114,success
Western Region - II,Madhya Pradesh,NAGDA,AIS,400kV,,,23.4578957,75.4191114,success
Western Region - I,Maharastra,Nagewadi,AIS,220kV,,,18.3640286,76.8503523,success
Northern Region,Jammu & Kashmir,Nagrota GSS,AIS,220kV,MAR-23,,33.6649297,75.1629584,state_center
Northern Region,Jammu & Kashmir,Nagrota S/S,AIS,220kV,,,33.6649297,75.1629584,state_center
Southern Region,Andhra Pradesh,Naidupeta S/S,AIS,220kV,AUG-20,,13.6289527,79.4634246,success
Western Region - II,Madhya Pradesh,NALKHEDA,AIS,220kV,,,23.5907624,75.7733548,success
Northern Region II,Himachal Pradesh,NALLAGARH,AIS,400kV,,,31.9292352,77.1828462,state_center
Southern Region - II,Kerala,Nallalam,AIS,220kV,,,11.2170431,75.8174809,success
North Eastern Region,Arunachal Pradesh,Namsai S/s,AIS,220kV,OCT-25,,28.0937702,94.5921326,state_center
Western Region,Maharashtra,Nandurbar MIDC T/F,AIS,220kV,MAR-21,,18.9068356,75.6741579,state_center
North Eastern Region,Meghalaya,Nangalbibra,AIS,220kV,,,25.5379432,91.2999102,state_center
North Eastern Region,Meghalaya,NANGALBIBRA,AIS,400kV,,,25.5379432,91.2999102,state_center
Western Region,Maharashtra,Narangwadi s/s,AIS,220kV,JUN-21,,18.9068356,75.6741579,state_center
Southern Region - I,Andhra Pradesh,Narasaraopeta,AIS,220kV,,,16.228184,80.0506952,success
Northern Region,Delhi,Narela,AIS,220kV,MAR-21,,28.8464766,77.0856631,success
Northern Region,Delhi,Narela,AIS,765kV,NOV-23,,28.8464766,77.0856631,success
Northern Region,Haryana,Narela,AIS,220kV,,,28.9017906,77.0687403,success
Southern Region - II,Karnataka,Narendra,AIS,220kV,,,15.5087369,74.9768538,success
Southern Region - II,Karnataka,NARENDRA,AIS,400kV,,,15.5087369,74.9768538,success
ODISHA,Odisha,Narendrapur,AIS,220kV,,,19.3343487,84.8686552,success
Southern Region - I,Andhra Pradesh,Narnoor,AIS,400kV,,,15.9240905,80.1863809,state_center
Western Region - II,Madhya Pradesh,NARSINGHPUR,AIS,220kV,,,22.934556,79.0867849,success
Western Region,Goa,NAVELI-AMONA,AIS,220kV,,,51.5323423,9.937216,state_center
Western Region - II,Gujarat,Navsari SS,AIS,400kV,,,20.952407,72.9323831,success
Western Region,Gujarat,Navsari,AIS,220kV,,,20.952407,72.9323831,success
Western Region - II,Gujarat,NAVSARI,GIS,400kV,,,20.952407,72.9323831,success
Northern Region,Haryana,Nawada,AIS,400kV,,,28.3947735,76.9402211,success
Northern Region,Rajasthan,Nawalgarh s/s,AIS,220kV,,,26.8105777,73.7684549,state_center
Northern Region,Rajasthan,Nawalgarh,AIS,220kV,DEC-16,,27.8503,75.2741,success
ODISHA,Odisha,Nayagarh,AIS,220kV,,,20.2393682,85.050728,success
Western Region - II,Madhya Pradesh,Neemach,AIS,400kV,,,23.8143419,77.5340719,state_center
Northern Region 1,Rajasthan,NEEMARANA,AIS,400kV,,,26.8105777,73.7684549,state_center
Western Region - II,Madhya Pradesh,NEEMUCH,AIS,220kV,,,24.6305517,75.1829,success
Northern Region,Delhi,Nehru Place GIS,AIS,220kV,MAR-21,,28.6328027,77.2197713,state_center
Southern Region - II,Karnataka,Nelamangala,AIS,400kV,,,13.0979667,77.3945591,success
Southern Region - I,Andhra Pradesh,NELLORE PS,AIS,765kV,,,15.9240905,80.1863809,state_center
Southern Region - I,Andhra Pradesh,NELLORE,AIS,400kV,,,14.4493717,79.9873763,success
Southern Region,Andhra Pradesh,Nellore,AIS,765kV,MAR-17,,14.4493717,79.9873763,success
Western Region - II,Madhya Pradesh,NEPANAGAR,AIS,220kV,,,21.4641072,76.3968819,success
ODISHA,Odisha,New Bolangir,AIS,220kV,,,20.5431241,84.6897321,state_center
Eastern Region,West Bengal,New Chanditala,AIS,400kV,NOV-24,10/24,22.7660556,88.2583626,success
ODISHA,Odisha,New Duburi,AIS,220kV,,,20.5431241,84.6897321,state_center
ODISHA,Odisha,New Duburi,AIS,400kV,,,20.5431241,84.6897321,state_center
Eastern Region,West Bengal,New Katwa GIS,AIS,400kV,MAR-21,,22.9964948,87.6855882,state_center
North Eastern Region,Assam,New Mariani S/S,AIS,400kV,APR-21,,26.4073841,93.2551303,state_center
Eastern Region - 2,Sikkim,NEW MELLI,GIS,220kV,,,27.6021259,88.4561608,state_center
Western Region - II,Gujarat,New Navsari,GIS,400kV,,,20.8291968,72.9493751,success
Eastern Region - 1,Bihar,NEW PURNEA,AIS,400kV,,,25.7676772,87.46104,success
Eastern Region - 2,West Bengal,NEW SILIGURI,AIS,400kV,,,26.6828552,88.4424796,success
Eastern Region,West Bengal,New Town AA-IIC GIS,AIS,220kV,DEC-22,,22.9964948,87.6855882,state_center
Eastern Region,West Bengal,New Town AA-IIC,AIS,220kV,OCT-23,,22.9964948,87.6855882,state_center
Northern Region II,Jammu & Kashmir,NEW WANPOH,AIS,400kV,,,33.6649297,75.1629584,state_center
Southern Region - I,Andhra Pradesh,Nidadavole,AIS,220kV,,,16.9051311,81.6540622,success
Western Region - II,Madhya Pradesh,NIMRANI,AIS,220kV,,,22.1157923,75.4536773,success
Northern Region III,Uttar Pradesh,Nirpura (Baghpat),AIS,220kV,,,29.2315865,77.3974371,success
Southern Region - I,Telangana,NIZAMABAD,GIS,765kV,,,18.6732693,78.0978477,success
Northern Region,Uttarakhand,Nogaon,AIS,220kV,MAR-18,,30.0417376,79.089691,state_center
Northern Region,Haryana,Nonand S/s,AIS,220kV,DEC-26,,29.0,76.0,state_center
Southern Region,Andhra Pradesh,NP Kunta PS,AIS,400kV,,,15.9240905,80.1863809,state_center
Southern Region - I,Andhra Pradesh,NP KUNTA,AIS,400kV,,,13.9330933,78.3439238,success
Northern Region,Haryana,Nunamazra,AIS,220kV,,,29.0,76.0,state_center
Western Region,Gujarat,Nyara,AIS,220kV,,,22.4509949,70.0409996,success
Northern Region,Delhi,Okhla,AIS,220kV,NOV-19,,28.5636616,77.2890546,success
Western Region,Maharashtra,ONGC Panvel Addl T/F,AIS,220kV,MAR-19,,18.9068356,75.6741579,state_center
Northern Region III,Uttar Pradesh,ORAI,GIS,765kV,,,25.9359555,79.4243277,success
Southern Region - II,Kerala,Orkatteri,AIS,220kV,,,11.6540966,75.6004811,success
Western Region,Gujarat,Otha,AIS,220kV,,,21.5283809,70.4651732,success
Western Region - I,Maharastra,Padghe,AIS,400kV,,,18.9068356,75.6741579,state_center
Western Region - I,Maharastra,PADGHE,GIS,765kV,,,18.9068356,75.6741579,state_center
Northern Region,Ladakh,Padum S/S,AIS,220kV,,,33.9456407,77.6568576,state_center
Northern Region,Haryana,Pahari S/s,AIS,220kV,,,29.0,76.0,state_center
Southern Region - II,Kerala,Palakkad,AIS,220kV,,,10.7873692,76.4742172,success
Western Region,Gujarat,Palanpur,AIS,220kV,,,24.1709794,72.4366375,success
Eastern Region,Odisha,Palei,AIS,220kV,JUN-24,05/24,20.4851656,85.8538136,success
Western Region,Maharashtra,Palghar T/F,AIS,220kV,MAR-19,,18.9068356,75.6741579,state_center
Northern Region,Haryana,Pali,AIS,220kV,,,28.3793564,77.2457099,success
Northern Region,Haryana,Palla,AIS,220kV,,,28.1217446,76.9801441,success
Southern Region - II,Kerala,PALLAKAD,AIS,400kV,,,10.3528744,76.5120396,state_center
Southern Region - II,Kerala,Pallom,AIS,220kV,,,9.528549,76.514907,success
Eastern Region,Jharkhand,Palojori s/s,AIS,220kV,,,23.4559809,85.2557301,state_center
Northern Region,Haryana,Palwal,AIS,220kV,,,28.0599426,77.3223422,success
Western Region - II,Madhya Pradesh,PANAGAR,AIS,220kV,,,24.6971115,79.4862967,success
Eastern Region,West Bengal,Panagarh,AIS,220kV,,,23.4430436,87.4587011,success
Northern Region II,Haryana,PANCHKULA,AIS,400kV,,,30.6975401,76.8551066,success
Western Region,Maharashtra,PANDHARPUR,AIS,220kV,,,17.7255921,75.3001936,success
Western Region - II,Madhya Pradesh,PANDHURNA,AIS,220kV,,,21.5898263,78.5258059,success
ODISHA,Odisha,PANDIABILI,GIS,400kV,,,20.5431241,84.6897321,state_center
Northern Region,Haryana,Panipat,AIS,220kV,,,29.3912753,76.9771675,success
Northern Region,Delhi,Panjabi Bagh GIS,AIS,220kV,MAR-19,,28.6328027,77.2197713,state_center
Northern Region,Uttarakhand,Pantnagar,AIS,220kV,MAR-17,,29.028405,79.4832094,success
Northern Region II,Himachal Pradesh,PARBATI PS / BANALA,GIS,400kV,,,31.9292352,77.1828462,state_center
Western Region,Maharashtra,Pardi SS (,AIS,220kV,,,20.8156996,77.823919,success
Western Region - I,Maharastra,PARLI,AIS,400kV,,,18.8485632,76.5297124,success
Northern Region III,Uttar Pradesh,Partapur (Meerut),AIS,220kV,05-Apr-16,,28.9165978,77.6478052,success
Western Region,Maharashtra,PARTUR,AIS,220kV,,,19.4882762,76.2606978,success
Western Region,Maharashtra,PARVATI,AIS,220kV,,,19.1094874,72.8295914,success
Southern Region,Kerala,Pathanamthitta,AIS,220kV,MAY-25,,9.2780841,76.9737443,success
Southern Region - II,Kerala,Pathnamthitta,GIS,220kV,,,10.3528744,76.5120396,state_center
Northern Region II,Punjab,PATIALA,AIS,400kV,,,30.2092778,76.3397231,success
Eastern Region - 1,Bihar,PATNA,AIS,400kV,,,25.6093239,85.1235252,success
Western Region,Maharashtra,Patoda s/s,AIS,220kV,,,18.9068356,75.6741579,state_center
Northern Region,Delhi,Patparganj,AIS,220kV,MAR-17,,28.6115923,77.2905644,success
Northern Region,Punjab,patran S/s,AIS,400kV,JAN-25,12/24,30.9293211,75.5004841,state_center
Eastern Region,Jharkhand,Patratu GSS,AIS,220kV,,,23.4559809,85.2557301,state_center
Southern Region - II,Karnataka,PAVAGADA,AIS,400kV,,,14.0994177,77.2804049,success
Southern Region,Gorantla,Penukonda,AIS,220kV,JUN-24,,13.9950176,77.7798757,state_center
Western Region,Maharashtra,PETH,AIS,220kV,,,20.3640407,76.3317913,success
Northern Region,Himachal Pradesh,Phojal,GIS,220kV,,,32.0956974,77.0885321,success
Northern Region III,Uttar Pradesh,Phoolbagh,GIS,220kV,,,27.1303344,80.859666,state_center
Western Region,Maharashtra,Phursungi S/S,AIS,220kV,,,18.9068356,75.6741579,state_center
Western Region - II,Madhya Pradesh,PIPARIYA,AIS,220kV,,,22.7630881,78.3431799,success
Western Region,Gujarat,Pipavav S/S,AIS,400kV,MAR-21,,22.3850051,71.745261,state_center
Northern Region,Uttarakhand,Piran Kaliyar,AIS,220kV,SEP-18,,29.9226501,77.9393977,success
Western Region - II,Gujarat,PIRANA,AIS,400kV,,,22.9661748,72.557483,success
Western Region - II,Madhya Pradesh,PITHAMPUR (Sec-III),AIS,220kV,,,23.8143419,77.5340719,state_center
Western Region - II,Madhya Pradesh,PITHAMPUR,AIS,400kV,,,22.6105576,75.6790283,success
Western Region - II,Madhya Pradesh,PITHAMPUR-II (Sec-I),AIS,220kV,,,23.8143419,77.5340719,state_center
Northern Region III,Uttarakhand,PITHORAGARH,AIS,220kV,,,29.585871,80.215167,success
North Eastern Region,Sikkim,PMDP-Jammu) Chowadhi,AIS,220kV,,,27.6021259,88.4561608,state_center
Northern Region,Jammu and Kashmir,PMDP-Jammu) Nagrota,AIS,220kV,,,33.6649297,75.1629584,state_center
Northern Region,Jammu and Kashmir,PMDP-Jammu) Samba,AIS,220kV,,,33.6649297,75.1629584,state_center
Western Region,Goa,Ponda s/s,AIS,220kV,MAR-19,,15.3979351,74.0079788,success
Western Region,Gujarat,Popda,AIS,220kV,,,22.3850051,71.745261,state_center
Southern Region,Andhra Pradesh,Porumamilla,AIS,220kV,,,15.0036346,79.0322201,success
Southern Region - II,Kerala,Pothencode,AIS,220kV,,,8.6184233,76.8976931,success
Northern Region,Himachal Pradesh,Pragati Nagar S/S,AIS,400kV,JUN-19,,31.9292352,77.1828462,state_center
Northern Region,Himachal Pradesh,Pragati Nagar,AIS,400kV,MAR-20,,31.9292352,77.1828462,state_center
Western Region,Gujarat,Prantij S/S,AIS,400kV,MAR-21,,22.3850051,71.745261,state_center
Northern Region III,Uttar Pradesh,Pratap Vihar (Gaziabad),AIS,220kV,,,28.6444638,77.4097432,success
Northern Region III,Uttar Pradesh,Pratap Vihar,AIS,220kV,,,28.6444638,77.4097432,success
Eastern Region,Odisha,Pratapsasan,AIS,220kV,AUG-21,,20.5431241,84.6897321,state_center
Northern Region,Himachal Pradesh,Prini,AIS,220kV,,,32.2221873,77.2022869,success
Northern Region,Haryana,Prithala S/s,AIS,220kV,,,29.0,76.0,state_center
Northern Region,Haryana,PTPS Panipat,AIS,220kV,,,29.3968816,76.8787432,success
Southern Region - II,Pondicherry,PUDUCHERRY,AIS,400kV,,,11.9340568,79.8306447,success
Southern Region - II,Tamil Nadu,PUGALUR (Karur),AIS,400kV,,,11.076244,78.0040454,success
Southern Region - II,Tamil Nadu,Pugalur GIS,GIS,400kV,,,10.9094334,78.3665347,state_center
Northern Region,Uttarakhand,Puhana,AIS,220kV,MAR-17,,29.9146866,77.8462353,success
Western Region - I,Maharastra,PUNE (TALEGAON),AIS,400kV,,,18.7661106,73.6967492,success
Western Region - I,Maharastra,PUNE New,GIS,765kV,,,18.5814375,73.7838745,success
Northern Region,Delhi,Punjabi Bagh GIS,AIS,220kV,MAR-20,,28.6328027,77.2197713,state_center
Northern Region,Punjab,Punjabi Bagh,GIS,220kV,,,30.9293211,75.5004841,state_center
Southern Region - II,Kerala,Punnapra,AIS,220kV,,,9.4258585,76.3401958,success
Eastern Region - 1,Bihar,PURNEA,AIS,220kV,,,25.7773601,87.4731227,success
Western Region,Maharashtra,PURTI,AIS,220kV,,,20.949397,79.2258743,success
Eastern Region,Bihar,Pusali,AIS,400kV,JAN-20,,25.6440845,85.906508,state_center
Eastern Region,Bihar,Pusauli S/S,AIS,220kV,,,25.6440845,85.906508,state_center
Southern Region - I,Andhra Pradesh,Rachaganneri,AIS,220kV,,,15.9240905,80.1863809,state_center
Southern Region,Andhra Pradesh,Rachaganneru S/s,AIS,400kV,AUG-18,,15.9240905,80.1863809,state_center
Southern Region,Andhra Pradesh,Rachagunneri,AIS,400kV,DEC-24,,13.7199038,79.6370793,success
Southern Region,Andhra Pradesh,Racherla,AIS,220kV,,,15.4996459,78.9089523,success
Western Region - II,Gujarat,Radhanesda,GIS,400kV,,,22.3850051,71.745261,state_center
Western Region,Gujarat,Radhanpur,AIS,220kV,,,23.8472862,71.5858439,success
Northern Region III,Uttar Pradesh,RAEBAREILLY,AIS,220kV,,,27.1303344,80.859666,state_center
Northern Region,Uttar Pradesh,Raebareli S/s,AIS,400kV,MAR-26,,27.1303344,80.859666,state_center
Southern Region - I,Karnataka,RAICHUR,AIS,765kV,,,16.0547194,76.9003647,success
Western Region - I,Chattishgarh,RAIGARH (KOTRA) PS,AIS,765kV,,,21.2555727,81.6923437,state_center
Western Region - I,Chattishgarh,RAIGARH (TAMNAR) PS,AIS,765kV,,,21.2555727,81.6923437,state_center
Western Region,Chhattisgarh,Raigarh Kotra Section-A),AIS,765kV,NOV-24,10/24,21.6637359,81.8406351,state_center
Western Region,Chhattisgarh,Raigarh Kotra Section-B),AIS,765kV,FEB-25,,21.6637359,81.8406351,state_center
Western Region - I,Chattishgarh,RAIGARH,AIS,400kV,,,21.2555727,81.6923437,state_center
Western Region,Chhattisgarh,RAIGARH,AIS,220kV,,,22.2361795,83.3529534,success
Western Region - I,Chattishgarh,RAIPUR (DURG) PS,AIS,765kV,,,21.2555727,81.6923437,state_center
Western Region - I,Chattishgarh,RAIPUR,AIS,400kV,,,21.2555727,81.6923437,state_center
Eastern Region - 2,West Bengal,RAJARHAT,GIS,400kV,,,22.6286173,88.44061,success
Western Region - II,Madhya Pradesh,RAJGARH ( DHAR),AIS,220kV,,,22.6648274,74.9520066,success
Western Region - II,Madhya Pradesh,RAJGARH (BIORA),AIS,220kV,,,23.8143419,77.5340719,state_center
Western Region - II,Madhya Pradesh,RAJGARH,AIS,400kV,,,23.8716706,76.7744703,success
Northern Region,Delhi,Rajghat S/S,AIS,400kV,OCT-21,,28.6328027,77.2197713,state_center
Western Region,Chhattisgarh,Rajim SS,AIS,220kV,MAR-25,02/25,20.9684716,81.8796833,success
Western Region,Gujarat,Rajula,AIS,220kV,,,21.038617,71.4438845,success
Southern Region,Telangana,Ramadugu S/S,AIS,400kV,JAN-20,,17.8495919,79.1151663,state_center
Southern Region,Karnataka,Ramasamuda S/S,AIS,220kV,OCT-22,,14.5203896,75.7223521,state_center
Eastern Region,Jharkhand,Ramgarh-B,AIS,220kV,,,23.6303213,85.5215878,success
Eastern Region,West Bengal,Ramkanli-B,AIS,220kV,,,22.9964948,87.6855882,state_center
Eastern Region,West Bengal,Ramkanli-B,AIS,400kV,,,22.9964948,87.6855882,state_center
Northern Region III,Uttar Pradesh,Rampur,GIS,400kV,,,28.7934728,79.1845806,success
Western Region,Gujarat,Ranasan,AIS,220kV,,,23.4680107,73.1120471,success
Eastern Region - 1,Jharkhand,RANCHI (NEW),AIS,765kV,,,23.3795613,85.3297516,success
Eastern Region - 1,Jharkhand,RANCHI,AIS,400kV,,,23.3700501,85.3250387,success
Eastern Region,Sikkim,Rangpo S/S (GIS,AIS,400kV,,,27.6021259,88.4561608,state_center
Eastern Region - 2,Sikkim,RANGPO,GIS,400kV,,,27.1744361,88.5303403,success
Northern Region III,Uttar Pradesh,Rasra,AIS,400kV,03-Aug-18,,25.8861049,83.8825267,success
Western Region - II,Madhya Pradesh,RATANGARH,AIS,220kV,,,24.8184032,75.1096358,success
Northern Region 1,Rajasthan,Ratangarh,AIS,220kV,,,28.0749601,74.6243533,success
Western Region - II,Madhya Pradesh,RATLAM,AIS,220kV,,,23.50222,74.9551534,success
ODISHA,Odisha,Rengali,AIS,220kV,,,21.6360466,84.0424879,success
ODISHA,Odisha,RENGALI,AIS,400kV,,,21.6360466,84.0424879,success
Western Region - II,Madhya Pradesh,REWA,AIS,220kV,,,24.7560846,81.3810574,success
Western Region - II,Madhya Pradesh,REWA,AIS,400kV,,,24.7560846,81.3810574,success
Northern Region,Haryana,Rewari,AIS,220kV,,,28.1956468,76.6165179,success
Northern Region,Delhi,Ringanwada,AIS,220kV,,,28.6328027,77.2197713,state_center
Northern Region 1,Uttarakhand,Rishikesh,AIS,220kV,,,30.1086537,78.2916193,success
Northern Region 1,Uttarakhand,Rishikesh,AIS,400kV,,,30.1086537,78.2916193,success
Northern Region,Haryana,Rohtak RoadDelhi,AIS,220kV,,,29.0,76.0,state_center
Northern Region,Haryana,Rohtak,AIS,220kV,,,28.9010899,76.5801935,success
Northern Region,Haryana,Roj-Ka-Meo Palwal,AIS,220kV,JUN-25,,29.0,76.0,state_center
Northern Region 1,Uttarakhand,ROORKEE,AIS,400kV,,,29.8693496,77.8902124,success
ODISHA,Odisha,ROURKELA,AIS,400kV,,,22.2309255,84.8678705,success
Northern Region III,Uttar Pradesh,Rukhi (Sayana),AIS,220kV,29-Dec-16,,27.1303344,80.859666,state_center
Western Region,Gujarat,Rupakheda,AIS,220kV,,,22.3850051,71.745261,state_center
Western Region,Gujarat,Rupkheda,AIS,220kV,,,22.3850051,71.745261,state_center
Western Region - II,Madhya Pradesh,SABALGARH,AIS,220kV,,,26.2485682,77.4097285,success
Western Region,Gujarat,Sachin,AIS,220kV,,,21.0778781,72.8744643,success
Western Region,Gujarat,Sadla,AIS,220kV,,,23.1373805,71.8571252,success
Western Region,Gujarat,Sagapara,AIS,220kV,,,22.3850051,71.745261,state_center
Western Region - II,Madhya Pradesh,SAGAR,AIS,400kV,,,23.8083076,78.758254,success
Northern Region 1,Uttar Pradesh,SAHARANPUR,AIS,400kV,,,29.9856799,77.5040646,success
Eastern Region - 1,Bihar,Saharsa,AIS,400kV,,,25.8330757,86.6143751,success
